Age,Candidate,Criminal_Case,District,Education,Liabilities,Party,State,Total_Assets,Winner,Year
65,MANORANJAN BHAKTA,0,Andaman & Nicobar Islands,Post Graduate,"Rs 2,72,061",INC,ANDAMAN,"Rs 59,26,740",Yes,2004
61,A K BISWAS,0,Andaman & Nicobar Islands,Graduate,"Rs 65,000",BSP,ANDAMAN,"Rs 78,76,500",No,2004
50,ASIT BARAN DUTTA,0,Andaman & Nicobar Islands,Graduate,Rs 0,IND,ANDAMAN,"Rs 30,70,000",No,2004
54,BISHNU PADA RAY,0,Andaman & Nicobar Islands,Graduate,"Rs 1,28,710",BJP,ANDAMAN,"Rs 12,50,619",No,2004
28,DEEPAK BISWAS,0,Andaman & Nicobar Islands,Not Given,Rs 0,IND,ANDAMAN,"Rs 3,000",No,2004
66,DR SHANMUGAM,0,Andaman & Nicobar Islands,Doctorate,"Rs 67,070",LJNSP,ANDAMAN,"Rs 61,66,416",No,2004
37,GOUR CHANDRA MAJUMDER,0,Andaman & Nicobar Islands,Graduate,Rs 0,IND,ANDAMAN,"Rs 36,200",No,2004
51,K KALIMUTHU, 1 ,Andaman & Nicobar Islands,8th Pass,"Rs 73,878",IND,ANDAMAN,"Rs 4,72,440",No,2004
65,K PERUMAL,0,Andaman & Nicobar Islands,Literate,Rs 0,SWD,ANDAMAN,"Rs 77,52,141",No,2004
49,N K P NAIR,0,Andaman & Nicobar Islands,Literate,"Rs 1,88,000",CPI(ML)(L),ANDAMAN,"Rs 7,72,588",No,2004
40,R S UMA BHARATHY, 1 ,Andaman & Nicobar Islands,Not Given,"Rs 35,000",NCP,ANDAMAN,"Rs 59,977",No,2004
46,TAPAN KUMAR BEPARI,0,Andaman & Nicobar Islands,Post Graduate,Rs 0,CPM,ANDAMAN,"Rs 24,35,276",No,2004
49,RENUKA CHOWDHURY, 1 ,Khammam,Post Graduate,"Rs 3,00,414",INC,ANDHRA PRADESH,"Rs 13,69,12,161",Yes,2004
44,ARUNA CHANDRA,0,Khammam,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 2,00,000",No,2004
58,BANOTH SOMLA NAIK,0,Khammam,Others,"Rs 3,06,157",IND,ANDHRA PRADESH,"Rs 44,60,000",No,2004
39,BURRA VENKANNA,0,Khammam,5th Pass,"Rs 3,000",IND,ANDHRA PRADESH,"Rs 54,000",No,2004
46,NALAJALA SAROJA,0,Khammam,Not Given,Rs 0,PPOI,ANDHRA PRADESH,"Rs 26,85,000",No,2004
45,NAMA NAGESWARA RAO,0,Khammam,12th Pass,Rs 0,TDP,ANDHRA PRADESH,"Rs 36,83,000",No,2004
43,NAMA NAIK ISLAVATH,0,Khammam,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 1,60,000",No,2004
60,PADIGA YERRAIAH,0,Khammam,10th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 2,38,000",No,2004
49,PITTALA VENKATA NARASAIAH MUDIRA,0,Khammam,10th Pass,"Rs 50,000",MRS,ANDHRA PRADESH,"Rs 6,35,000",No,2004
51,K. CHANDRA SHAKHER RAO,0,Karimnagar,Graduate,"Rs 25,59,507",TRS,ANDHRA PRADESH,"Rs 85,98,858",Yes,2004
61,CHENNAMANENI VIDYASAGAR RAO,0,Karimnagar,Graduate Professional,Rs 0,BJP,ANDHRA PRADESH,"Rs 51,96,600",No,2004
69,KOTHAPALLI SANDRI MENAYYA,0,Karimnagar,Graduate,"Rs 4,00,000",BSP,ANDHRA PRADESH,"Rs 18,15,000",No,2004
50,MAMIDIPALLI GANGARAJAM,0,Karimnagar,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 72,000",No,2004
53,D. VITTAL RAO,0,Mahabubnagar,Graduate,"Rs 30,00,000",INC,ANDHRA PRADESH,"Rs 6,50,75,830",Yes,2004
47,G. RAMCHANDRAIAH YADAV,0,Mahabubnagar,Others,Rs 0,BSP,ANDHRA PRADESH,Rs 182,No,2004
52,MOHD. MAZHER HUSSAIN,0,Mahabubnagar,Not Given,Rs 0,Muslim League Kerala State Committee,ANDHRA PRADESH,Nil,No,2004
56,SMT. GUNDALA VIJAYA LAKSHMI,0,Mahabubnagar,12th Pass,Rs 0,PPOI,ANDHRA PRADESH,"Rs 50,000",No,2004
64,YELKOTI YELLA REDDY,0,Mahabubnagar,12th Pass,"Rs 1,89,910",TDP,ANDHRA PRADESH,"Rs 19,04,000",No,2004
61,BADIGA RAMAKRISHNA,0,Machilipatnam,12th Pass,"Rs 1,15,59,000",INC,ANDHRA PRADESH,"Rs 13,85,45,000",Yes,2004
32,ADAPALA SIVANNARAYANA,0,Machilipatnam,Others,Rs 0,PPOI,ANDHRA PRADESH,"Rs 2,98,906",No,2004
64,AMBATI BRAHMANAIAH,0,Machilipatnam,Post Graduate,"Rs 1,68,301",TDP,ANDHRA PRADESH,"Rs 15,46,471",No,2004
42,B.S.RAO,0,Machilipatnam,Others,Rs 0,TRS,ANDHRA PRADESH,"Rs 82,00,000",No,2004
49,DODDA KAMESWARA RAO,0,Machilipatnam,10th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 15,00,000",No,2004
46,YENDURI SUBRAHMANYESWARA RAO (MANI),0,Machilipatnam,Others,Rs 0,IND,ANDHRA PRADESH,"Rs 8,00,000",No,2004
49,A. NARENDRA,0,Medak,Graduate,"Rs 5,00,000",TRS,ANDHRA PRADESH,"Rs 20,20,000",Yes,2004
45,K. LAXMAIAH YADAV,0,Medak,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 1,80,000",No,2004
62,MD. ULFATHALI,0,Medak,Not Given,Rs 0,IND,ANDHRA PRADESH,"Rs 2,00,000",No,2004
43,NALLA SURYAPRAKASH,0,Medak,Graduate,Rs 0,BSP,ANDHRA PRADESH,"Rs 10,000",No,2004
73,P RAMACHANDRA REDDY,0,Medak,Post Graduate,"Rs 6,40,392",BJP,ANDHRA PRADESH,"Rs 64,54,939",No,2004
57,P. JEEVULA NAIK,0,Medak,5th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 23,79,500",No,2004
62,JAIPAL REDDY SUDINI,0,Miryalguda,Post Graduate,"Rs 15,46,865",INC,ANDHRA PRADESH,"Rs 1,22,64,007",Yes,2004
50,MARRY NEHEMIAH,0,Miryalguda,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 80,000",No,2004
52,VANGALA SWAMY GOUD,0,Miryalguda,Not Given,"Rs 19,93,070",TDP,ANDHRA PRADESH,"Rs 50,01,067",No,2004
33,VARIKUPPALA VENKANNA,0,Miryalguda,10th Pass,Rs 0,MCPI(S),ANDHRA PRADESH,Nil,No,2004
37,YANALA NARSI REDDY,0,Miryalguda,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 62,000",No,2004
52,KOTLA JAYASURYA PRAKASHA REDDY,0,Kurnool,Graduate,"Rs 6,81,000",INC,ANDHRA PRADESH,"Rs 1,59,41,801",Yes,2004
36,DR. PARAMESHWAR REDDY,0,Kurnool,Graduate Professional,Rs 0,PPOI,ANDHRA PRADESH,"Rs 78,000",No,2004
52,GIRI NIVARTHI RAO YADAV,0,Kurnool,Post Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 48,42,200",No,2004
39,JAMES,0,Kurnool,12th Pass,Rs 0,IND,ANDHRA PRADESH,"Rs 10,000",No,2004
26,K. V. KRISHNA KUMAR, 1 ,Kurnool,Graduate,Rs 0,IND,ANDHRA PRADESH,"Rs 50,000",No,2004
